name,lat,lon,pop
"Abilene, TX Metro Area",32.4487,-99.7331,184278
"Akron, OH Metro Area",41.0814,-81.519,702209
"Albany, GA Metro Area",31.5785,-84.1557,145451
"Albany, OR Metro Area",44.6365,-123.1059,132474
"Albany-Schenectady-Troy, NY Metro Area",42.6526,-73.7562,913485
"Albuquerque, NM Metro Area",35.0844,-106.6504,926303
"Alexandria, LA Metro Area",31.3113,-92.4451,148008
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",40.6084,-75.4902,886418
"Altoona, PA Metro Area",40.5187,-78.3947,120269
"Amarillo, TX Metro Area",35.222,-101.8313,274650
"Ames, IA Metro Area",42.0347,-93.62,129227
"Amherst Town-Northampton, MA Metro Area",42.3732,-72.5199,165399
"Anchorage, AK Metro Area",61.2181,-149.9003,407213
"Ann Arbor, MI Metro Area",42.2808,-83.743,373875
"Anniston-Oxford, AL Metro Area",33.6598,-85.8316,116427
"Appleton, WI Metro Area",44.2619,-88.4154,248992
"Asheville, NC Metro Area",35.5951,-82.5515,422333
"Athens-Clarke County, GA Metro Area",33.9519,-83.3576,223689
"Atlanta-Sandy Springs-Roswell, GA Metro Area",33.749,-84.388,6411149
"Atlantic City-Hammonton, NJ Metro Area",39.3643,-74.4229,372989
"Auburn-Opelika, AL Metro Area",32.6098,-85.4808,206006
"Augusta-Richmond County, GA-SC Metro Area",33.4735,-82.0105,636760
"Austin-Round Rock-San Marcos, TX Metro Area",30.2672,-97.7431,2550637
"Bakersfield-Delano, CA Metro Area",35.3733,-119.0187,922529
"Baltimore-Columbia-Towson, MD Metro Area",39.2904,-76.6122,2859024
"Bangor, ME Metro Area",44.8016,-68.7712,156840
"Barnstable Town, MA Metro Area",41.7003,-70.2998,232570
"Baton Rouge, LA Metro Area",30.4515,-91.1871,882652
"Battle Creek, MI Metro Area",42.3212,-85.1797,133785
"Bay City, MI Metro Area",43.5945,-83.8888,102651
"Beaumont-Port Arthur, TX Metro Area",30.086,-94.1018,398733
"Beckley, WV Metro Area",37.7782,-81.1882,110979
"Bellingham, WA Metro Area",48.7519,-122.4787,234954
"Bend, OR Metro Area",44.0582,-121.3153,264407
"Billings, MT Metro Area",45.7833,-108.5007,192531
"Binghamton, NY Metro Area",42.0987,-75.918,243971
"Birmingham, AL Metro Area",33.5186,-86.8104,1192583
"Bismarck, ND Metro Area",46.8083,-100.7837,139183
"Blacksburg-Christiansburg-Radford, VA Metro Area",37.2296,-80.4139,182041
"Bloomington, IL Metro Area",40.4842,-88.9937,172069
"Bloomington, IN Metro Area",39.1653,-86.5264,162553
"Boise City, ID Metro Area",43.615,-116.2023,845877
"Boston-Cambridge-Newton, MA-NH Metro Area",42.3601,-71.0589,5025517
"Boulder, CO Metro Area",40.015,-105.2705,330262
"Bowling Green, KY Metro Area",36.9903,-86.4436,195159
"Bozeman, MT Metro Area",45.677,-111.0429,126984
"Bremerton-Silverdale-Port Orchard, WA Metro Area",47.5673,-122.6329,281420
"Bridgeport-Stamford-Danbury, CT Metro Area",41.1865,-73.1952,972679
"Brownsville-Harlingen, TX Metro Area",25.9017,-97.4975,431874
"Brunswick-St. Simons, GA Metro Area",31.1499,-81.4915,117135
"Buffalo-Cheektowaga, NY Metro Area",42.8864,-78.8784,1160172
"Burlington, NC Metro Area",36.0957,-79.4378,183040
"Burlington-South Burlington, VT Metro Area",44.4759,-73.2121,229445
"Canton-Massillon, OH Metro Area",40.7989,-81.3784,400551
"Cape Coral-Fort Myers, FL Metro Area",26.5629,-81.9495,860959
"Cape Girardeau, MO-IL Metro Area",37.3059,-89.5181,98862
"Carson City, NV Metro Area",39.1638,-119.7674,58148
"Casper, WY Metro Area",42.8666,-106.3131,80410
"Cedar Rapids, IA Metro Area",41.9779,-91.6656,278677
"Chambersburg, PA Metro Area",39.9373,-77.6611,159285
"Champaign-Urbana, IL Metro Area",40.1164,-88.2434,242453
"Charleston, WV Metro Area",38.3498,-81.6326,202091
"Charleston-North Charleston, SC Metro Area",32.7765,-79.9311,869940
"Charlotte-Concord-Gastonia, NC-SC Metro Area",35.2271,-80.8431,2883370
"Charlottesville, VA Metro Area",38.0293,-78.4767,227336
"Chattanooga, TN-GA Metro Area",35.0456,-85.3097,588050
"Cheyenne, WY Metro Area",41.14,-104.8202,101783
"Chicago-Naperville-Elgin, IL-IN Metro Area",41.8781,-87.6298,9408576
